"permalink","name","homepage_url","category_code","funding_total_usd","status","country_code","state_code","region","city","funding_rounds","founded_at","founded_month","founded_quarter","founded_year","first_funding_at","last_funding_at","last_milestone_at","id"
"/company/12society","12Society","http://www.12Society.com","ecommerce",,"acquired","USA","CA","Los Angeles","West Hollywood",1.0,"1/1/12"," 2012-01 ","2012-Q1",2012.0,"4/5/12","4/5/12","7/3/13",27
"/company/1366-technologies","1366 Technologies","http://www.1366tech.com","manufacturing",6.645E7,"operating","USA","MA","Boston","Bedford",8.0,"1/1/07"," 2007-01 ","2007-Q1",2007.0,"3/27/08","12/12/13","6/17/11",28
"/company/139shop","139shop","http://www.139shop.com",,,"operating",,,"unknown",,1.0,,,,,"2/1/07","2/1/07",,29
"/company/13th-lab","13th Lab","http://13thlab.com","mobile",700000.0,"operating","SWE",,"Stockholm","Stockholm",1.0,"1/1/10"," 2010-01 ","2010-Q1",2010.0,"6/15/12","6/15/12","6/1/12",30
"/company/140-proof","140 Proof","http://140proof.com","advertising",5500000.0,"operating","USA","CA","SF Bay","San Francisco",2.0,"1/11/10"," 2010-01 ","2010-Q1",2010.0,"7/1/09","4/28/11","1/24/13",31
"/company/140fire","140Fire","http://140fire.com","advertising",500000.0,"operating","USA","CA","Los Angeles","Santa Monica",1.0,"1/1/10"," 2010-01 ","2010-Q1",2010.0,"5/5/10","5/5/10","2/24/11",32
"/company/15five","15Five","http://15five.com","software",1200000.0,"operating","USA","CA","SF Bay","San Francisco",2.0,"5/1/11"," 2011-05 ","2011-Q2",2011.0,"1/1/12","1/15/13","9/19/13",33
"/company/15minutesnow","15MinutesNOW","http://15minutesnow.com","games_video",200000.0,"operating",,,"unknown",,1.0,"4/19/11"," 2011-04 ","2011-Q2",2011.0,"5/10/11","5/10/11",,34
"/company/169-st","169 ST.","http://www.junebugreview.com","games_video",50000.0,"closed","USA","FL","Orlando","Lake Mary",1.0,"5/15/09"," 2009-05 ","2009-Q2",2009.0,"6/1/09","6/1/09","5/1/09",35
"/company/170-systems","170 Systems","http://www.170systems.com","software",1.4E7,"acquired","USA","MA","Boston","Bedford",1.0,"1/1/90"," 1990-01 ","1990-Q1",1990.0,"4/16/02","4/16/02","1/1/03",36
"/company/1bib","1bib","http://www.1bib.com","web",,"closed","CHN",,"China - Other",,1.0,"1/1/06"," 2006-01 ","2006-Q1",2006.0,"2/7/08","2/7/08",,37
"/company/1c-company","1C Company","http://1c.ru/eng","software",2.0E8,"operating","RUS",,"Moscow","Moscow",1.0,"1/1/91"," 1991-01 ","1991-Q1",1991.0,"10/3/11","10/3/11","4/11/12",38
"/company/1calendar","1calendar","http://1calendar.com","education",40000.0,"operating","DNK",,"DNK","Copenhagen",1.0,"1/19/09"," 2009-01 ","2009-Q1",2009.0,"4/4/08","4/4/08","1/1/07",39
"/company/1cast","1Cast","http://www.1cast.com","news",,"closed","USA","WA","Seattle","Kirkland",1.0,"6/1/06"," 2006-06 ","2006-Q2",2006.0,"8/12/08","8/12/08","6/1/09",40
"/company/1click","1CLICK","http://1click.io","mobile",,"operating","IND",,"Bangalore","Bangalore",1.0,"11/1/12"," 2012-11 ","2012-Q4",2012.0,"1/26/14","1/26/14",,41
"/company/1daylater","1DayLater","http://1daylater.com","web",43812.0,"operating",,,"unknown",,2.0,"8/26/09"," 2009-08 ","2009-Q3",2009.0,"5/1/09","10/1/09","8/26/09",42
"/company/1daymakeover","1DayMakeover","http://www.1daymakeover.com","ecommerce",50000.0,"closed","USA","CA","Los Angeles","Santa Ana",1.0,"6/30/08"," 2008-06 ","2008-Q2",2008.0,"6/30/08","6/30/08",,43
"/company/1energy-systems","1Energy Systems","http://1energysystems.com","software",1450000.0,"operating","USA","WA","Seattle","Seattle",1.0,"1/1/10"," 2010-01 ","2010-Q1",2010.0,"4/22/13","4/22/13",,44
"/company/1eq","1eq","http://www.1eq.me","health",1300000.0,"operating",,,"unknown",,2.0,"1/1/12"," 2012-01 ","2012-Q1",2012.0,"7/1/12","12/23/13","6/5/13",45
"/company/1life-healthcare","1Life Healthcare","http://www.1life.com",,3.0E7,"operating","USA","CA","SF Bay","San Francisco",1.0,"1/1/02"," 2002-01 ","2002-Q1",2002.0,"3/21/13","3/21/13","8/17/02",46
"/company/1o1media","1o1Media",,,,"operating",,,"unknown",,1.0,,,,,"10/1/13","10/1/13","2/1/09",47
"/company/1ring","1Ring","http://www.1ring.com","web",,"operating",,,"unknown",,1.0,"5/1/09"," 2009-05 ","2009-Q2",2009.0,"2/21/11","2/21/11",,48
"/company/1sdk","1SDK","http://www.1sdk.com","mobile",19299.0,"operating","DEU",,"Berlin","Berlin",1.0,"9/1/12"," 2012-09 ","2012-Q3",2012.0,"8/5/13","8/5/13","9/1/12",49
"/company/1stdibs","1stdibs","http://www.1stdibs.com","ecommerce",5.7E7,"operating","USA","NY","New York","New York",4.0,"1/1/01"," 2001-01 ","2001-Q1",2001.0,"11/3/11","1/24/14","11/1/11",50
