"company_permalink","company_name","company_category_code","company_country_code","company_state_code","company_region","company_city","investor_permalink","investor_name","investor_category_code","investor_country_code","investor_state_code","investor_region","investor_city","funding_round_type","funded_at","funded_month","funded_quarter","funded_year","raised_amount_usd","id"
"/company/pentalum-technologies","Pentalum Technologies","cleantech","ISR",,"Rehovot","Rehovot","/company/abb","ABB","cleantech","CHE",,"Zurich","Zurich","venture","11/17/10","2010-11","2010-Q4",2010.0,,52
"/company/aquamarine-power","Aquamarine Power","cleantech","GBR",,"Edinburgh","Edinburgh","/company/abb","ABB","cleantech","CHE",,"Zurich","Zurich","venture","11/24/10","2010-11","2010-Q4",2010.0,1.74E7,53
"/company/trilliant","Trilliant","hardware","USA","CA","SF Bay","Redwood City","/company/abb","ABB","cleantech","CHE",,"Zurich","Zurich","venture","12/21/10","2010-12","2010-Q4",2010.0,,54
"/company/ecotality","ECOtality","cleantech","USA","CA","SF Bay","San Francisco","/company/abb","ABB","cleantech","CHE",,"Zurich","Zurich","venture","1/9/11","2011-01","2011-Q1",2011.0,1.0E7,55
"/company/aquamarine-power","Aquamarine Power","cleantech","GBR",,"Edinburgh","Edinburgh","/company/abb","ABB","cleantech","CHE",,"Zurich","Zurich","venture","9/30/11","2011-09","2011-Q3",2011.0,1.0906479E7,56
"/company/evalve","Evalve","medical","USA","CA","SF Bay","Menlo Park","/company/abbott","Abbott Labs","biotech","USA","IL","Chicago","Des Plaines","series-c+","11/27/07","2007-11","2007-Q4",2007.0,6.0E7,57
"/company/ovalis","Ovalis","biotech","USA","CA","SF Bay","Mountain View","/company/abbott","Abbott Labs","biotech","USA","IL","Chicago","Des Plaines","series-b","1/30/07","2007-01","2007-Q1",2007.0,6600000.0,58
"/company/alvine-pharmaceuticals","Alvine Pharmaceuticals","biotech","USA","CA","SF Bay","San Carlos","/company/abbvie","AbbVie","biotech","USA","IL","Chicago","Chicago","private-equity","5/14/13","2013-05","2013-Q2",2013.0,7.0E7,59
"/company/avaxia-biologics","Avaxia Biologics","biotech","USA","MA","Boston","Lexington","/company/abbvie","AbbVie","biotech","USA","IL","Chicago","Chicago","series-b","6/7/13","2013-06","2013-Q2",2013.0,1.15E7,60
"/company/aurasense-therapeutics","AuraSense Therapeutics","biotech","USA","IL","Chicago","Evanston","/company/abbvie","AbbVie","biotech","USA","IL","Chicago","Chicago","series-b","7/31/13","2013-07","2013-Q3",2013.0,,61
"/company/librarything","LibraryThing","web","USA","ME","Portland","Portland","/company/abebooks","AbeBooks","web","CAN",,"Victoria","Victoria","series-a","5/16/06","2006-05","2006-Q2",2006.0,,62
"/company/heliovolt","HelioVolt","cleantech","USA","TX","Austin","Austin","/company/abengoa-solar","Abengoa Solar","cleantech","ESP",,"Sevilla","Sevilla","series-b","10/23/07","2007-10","2007-Q4",2007.0,1.01E8,63
"/company/mindset-studio","Mindset Studio","games_video","ARG",,"Buenos Aires","Buenos Aires","/company/abexa","Abexa",,,,"unknown",,"angel","12/1/10","2010-12","2010-Q4",2010.0,250000.0,64
"/company/brash-entertainment","Brash Entertainment","games_video",,,"unknown",,"/company/abry-partners","ABRY Partners","other","USA","MA","Boston","Boston","private-equity","6/3/07","2007-06","2007-Q2",2007.0,4.0E8,65
"/company/quovadis","QuoVadis","web","BMU",,"Hamilton","Hamilton","/company/abry-partners","ABRY Partners","other","USA","MA","Boston","Boston","venture","7/10/07","2007-07","2007-Q3",2007.0,1.5E7,66
"/company/airband-communications-holdings","Airband Communications Holdings","mobile","USA","TX","Dallas","Dallas","/company/abry-partners","ABRY Partners","other","USA","MA","Boston","Boston","venture","8/11/11","2011-08","2011-Q3",2011.0,2.0E7,67
"/company/xand","Xand","software","USA","NY","New York","Hawthorne","/company/abry-partners","ABRY Partners","other","USA","MA","Boston","Boston","other","9/12/13","2013-09","2013-Q3",2013.0,2.0E8,68
"/company/multiply","Multiply","ecommerce","IDN",,"Kebayoran Lama","Kebayoran Lama, Jakarta Selatan","/company/abs-cbn","ABS-CBN GLOBAL LTD.","public_relations","PHL",,"Quezon City","Quezon City","venture","11/17/08","2008-11","2008-Q4",2008.0,5000000.0,69
"/company/tareasplus","TareasPlus","education","USA","CA","SF Bay","San Francisco","/company/academic-partnerships","Academic Partnerships",,"USA","TX","Dallas","Dallas","angel","11/9/12","2012-11","2012-Q4",2012.0,850000.0,70
"/company/infindo-technology-sdn-bhd","Infindo Technology Sdn Bhd","mobile","MYS",,"Petaling Jaya","Petaling Jaya, Selangor D.E.","/company/accel-x-pte-ltd","Accel-X Pte Ltd",,,,"unknown",,"series-a","4/1/11","2011-04","2011-Q2",2011.0,1100000.0,71
"/company/mesixty","MeSixty","mobile","SGP",,"Bandar Seri Begawan","Bandar Seri Begawan","/company/accel-x-pte-ltd","Accel-X Pte Ltd",,,,"unknown",,"series-a","10/1/11","2011-10","2011-Q4",2011.0,,72
"/company/inverted-edge","Inverted Edge","fashion","SGP",,"Singapore","Singapore","/company/accel-x-pte-ltd","Accel-X Pte Ltd",,,,"unknown",,"series-a","2/18/13","2013-02","2013-Q1",2013.0,1600000.0,73
"/company/d8a-group","D8A Group","analytics","USA","PA","Philadelphia","Philadelphia","/company/acceleprise","Acceleprise",,,,"unknown",,"angel","9/1/12","2012-09","2012-Q3",2012.0,30000.0,74
"/company/stayntouch","StayNTouch","enterprise","USA","MD","Washington DC","Bethesda","/company/acceleprise","Acceleprise",,,,"unknown",,"series-a","7/25/13","2013-07","2013-Q3",2013.0,2100000.0,75
"/company/adchemy","Adchemy","advertising","USA","CA","SF Bay","Foster City","/company/accenture","Accenture","consulting","USA","CA","San Diego","San Diego","venture","10/20/09","2009-10","2009-Q4",2009.0,3.1E7,76
"/company/predixion-software","Predixion Software","software","USA","CA","Los Angeles","San Juan Capistrano","/company/accenture","Accenture","consulting","USA","CA","San Diego","San Diego","series-c+","7/8/13","2013-07","2013-Q3",2013.0,2.0E7,77
"/company/apigee","Apigee","enterprise","USA","CA","SF Bay","Palo Alto","/company/accenture","Accenture","consulting","USA","CA","San Diego","San Diego","series-c+","7/31/13","2013-07","2013-Q3",2013.0,3.5E7,78
