"company_permalink","company_name","company_category_code","company_country_code","company_state_code","company_region","company_city","acquirer_permalink","acquirer_name","acquirer_category_code","acquirer_country_code","acquirer_state_code","acquirer_region","acquirer_city","acquired_at","acquired_month","acquired_quarter","acquired_year","price_amount","price_currency_code","id"
"/company/aaron-walton-entertainment","Aaron Walton Entertainment",,,,"unknown",,"/company/omnicom-group","Omnicom Group",,"USA","NY","New York","New York","4/26/02","2002-04","2002-Q2",2002.0,,"USD",81
"/company/aastra-technologies","Aastra Technologies","mobile","CAN",,"TBD","ON L4K 4N9","/company/mitel-networks-corporation","Mitel Networks Corporation","public_relations","CAN",,"Kanata","Kanata","11/11/13","2013-11","2013-Q4",2013.0,,"USD",82
"/company/abacus-ew-consultancy","Abacus EW Consultancy",,"GBR",,"Wellingore","Wellingore","/company/mass-consultants","Mass Consultants",,"GBR",,"Cambridgeshire","Cambridgeshire","5/1/10","2010-05","2010-Q2",2010.0,,"USD",83
"/company/abacus-international","Abacus International",,,,"unknown",,"/company/decision-resources-group","Decision Resources Group",,"USA","MA","Boston","Burlington","12/4/12","2012-12","2012-Q4",2012.0,,"USD",84
"/company/abacus-transcriptions","Abacus Transcriptions",,"USA","TX","Houston","Houston","/company/imedx","iMedX","enterprise","USA","GA","Atlanta","Atlanta","12/21/11","2011-12","2011-Q4",2011.0,,"USD",85
"/company/abb-cade","ABB CADE",,,,"unknown",,"/company/hewlett-packard","Hewlett-Packard","web","USA","CA","SF Bay","Palo Alto","12/31/91","1991-12","1991-Q4",1991.0,,"USD",86
"/company/abcro","AbCRO","biotech","USA",,"Los Angeles","Wilmington,","/company/ppd","PPD","biotech","USA","NC","Wilmington","Wilmington","4/21/09","2009-04","2009-Q2",2009.0,,"USD",87
"/company/abilitycrm","AbilityCRM",,"USA","AZ","Phoenix","Scottsdale","/company/business-decision","Business & Decision","consulting","USA","PA","Philadelphia","Wayne","7/2/12","2012-07","2012-Q3",2012.0,,"USD",88
"/company/able-belgium","Able (Belgium)",,,,"unknown",,"/company/vasco","VASCO Data Security International","security","USA","IL","Chicago","Oakbrook Terrace","1/1/06","2006-01","2006-Q1",2006.0,,"USD",89
"/company/abnormal-returns","Abnormal Returns","web",,,"unknown",,"/company/stocktwits","StockTwits","web","USA","CA","San Diego","San Diego","1/25/10","2010-01","2010-Q1",2010.0,,"USD",90
"/company/about-me","About Me!",,"USA","CA","California - Other",,"/company/shutterfly","Shutterfly","ecommerce","USA","CA","SF Bay","Redwood City","6/27/07","2007-06","2007-Q2",2007.0,,"USD",91
"/company/about-reverse-mortgages","About Reverse Mortgages",,,,"unknown",,"/company/reverse-mortgage-lenders-direct","Reverse Mortgage Lenders Direct","finance","USA","FL","Fort Lauderdale","Ft Lauderdale","9/8/12","2012-09","2012-Q3",2012.0,50000.0,"USD",92
"/company/about-com","About.com","web","USA",,"United States - Other",,"/company/iac","IAC","news","USA","NY","New York","New York","8/27/12","2012-08","2012-Q3",2012.0,3.0E8,"USD",93
"/company/about-com","About.com","web","USA",,"United States - Other",,"/company/newyorktimes","New York Times","news","USA","NY","New York","New York","3/18/05","2005-03","2005-Q1",2005.0,4.1E8,"USD",94
"/company/aboutme","about.me","web","USA","CA","SF Bay","San Francisco","/company/aol","AOL","news","USA","NY","New York","New York","12/20/10","2010-12","2010-Q4",2010.0,3.5E7,"USD",95
"/company/aboutme","about.me","web","USA","CA","SF Bay","San Francisco","/company/tony-conrad-ryan-freitas","Tony Conrad & Ryan Freitas",,,,"unknown",,"2/5/13","2013-02","2013-Q1",2013.0,,"USD",96
"/company/aboutweblogs","AboutWeblogs","web","AUS",,"Mawson Lakes","Mawson Lakes","/company/b5media","b5media","news","CAN",,"Toronto","Toronto, ON","11/7/05","2005-11","2005-Q4",2005.0,,"USD",97
"/company/abovenet","AboveNet","network_hosting","USA","NY","New York","White Plains","/company/zayo-bandwidth","Zayo Bandwidth","network_hosting","USA","CO","Denver","Louisville","3/19/12","2012-03","2012-Q1",2012.0,2.2E9,"USD",98
"/company/abraxis-bioscience","Abraxis BioScience","biotech","USA","CA","Los Angeles","Los Angeles","/company/celgene","Celgene","biotech","USA","NJ","Summit","Summit","6/30/10","2010-06","2010-Q2",2010.0,2.9E9,"USD",99
"/company/absolute-punk","Absolute Punk","games_video",,,"unknown",,"/company/spin-media","SpinMedia","music","USA","CA","Los Angeles","Hollywood","5/5/08","2008-05","2008-Q2",2008.0,,"USD",100
